,User,Score Count,Post Published,Post Text
19,e...r,5/5,"Wystawiono 11 miesięcy temu, po miesiącu użytkowania","prezent wiec nie uzytkowałam go , ładny czajnik w loftowym charakterze"
20,kapaz2304*****,5/5,"Wystawiono 6 miesięcy temu, po 3 tygodniach użytkowania","Bardzo orginalny wygląd. Czajnik cichy, szybko gotujący."
21,p...2,4/5,"Wystawiono 7 miesięcy temu, po 2 tygodniach użytkowania","Wygląd ok.
Trochę dlugi czas gotowania wody."
22,s...a,5/5,"Wystawiono rok temu, po 2 miesiącach użytkowania","Mam ten czajnik od miesiąca, działa bez zarzutu . Wygląda ok :)"
23,Użytkownik Ceneo,4/5,"Wystawiono 2 lata temu, po 4 dniach użytkowania","Źle się zdejmuje pokrywę, srebrne dodatki wyglądają tandetnie."
24,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 2 miesiącach użytkowania","Zgodny z opisem, elegancki i bardzo dobrze wykonany. Polecam"
25,l...3,5/5,"Wystawiono 8 miesięcy temu, po 3 tygodniach użytkowania","Przyjemny produkt. Owszem, plastik, ale wygląd estetyczny."
26,Mg,5/5,"Wystawiono 2 lata temu, po miesiącu użytkowania","Ladny wyglad, latwy w utrzymaniu czystosci. Wszystko ok"
27,Łukasz,"4,5/5","Wystawiono 2 lata temu, po 3 tygodniach użytkowania",Ok
28,Użytkownik Ceneo,4/5,"Wystawiono 2 lata temu, po 3 tygodniach użytkowania","Trochę głośne urządzenie, ale rekompensuje wygladem"
29,d...k,5/5,"Wystawiono 3 miesiące temu, po 3 tygodniach użytkowania",Piękny design-elegancki i bardzo ładny
30,n...9,5/5,"Wystawiono 2 miesiące temu, po 2 tygodniach użytkowania","Stylowy, wygodna pokrywka"
31,k...a,5/5,"Wystawiono 5 miesięcy temu, po miesiącu użytkowania","bardzo dobra jakość, zgodny z opisem"
32,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 2 miesiącach użytkowania",Bardzo efektownie prezentuje się. Polecam
33,Użytkownik Ceneo,"4,5/5","Wystawiono 2 lata temu, po 3 tygodniach użytkowania",Produkt spełnia moje oczekiwania. Polecam
34,Anna,5/5,"Wystawiono 2 lata temu, po miesiącu użytkowania",Bardzo ładnie się prezentuje. Cichy .
35,i...3,4/5,"Wystawiono 10 miesięcy temu, po 2 dniach użytkowania","Czajnik trochę głośny, wygląd ładny."
36,a...k,5/5,"Wystawiono 3 tygodnie temu, po tygodniu użytkowania","Wygląda świetnie, jestem zadowolona"
37,e...3,5/5,"Wystawiono 5 miesięcy temu, po tygodniu użytkowania",Wykonanie super
38,p...h,5/5,"Wystawiono 6 miesięcy temu, po 4 dniach użytkowania",Piękny design
39,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 3 dniach użytkowania","Warty swojej ceny, fajny design"
40,m...a,5/5,"Wystawiono 6 miesięcy temu, po 2 tygodniach użytkowania",Piękny 🤩
41,j...9,5/5,"Wystawiono 5 miesięcy temu, po miesiącu użytkowania",Bardzo ładny. Super
42,a...y,5/5,"Wystawiono 6 miesięcy temu, po 2 dniach użytkowania",Bardzo ladny design
43,Magdalena,5/5,"Wystawiono 2 lata temu, po 4 dniach użytkowania","Sprawdzony,działa bez zarzutu"
44,p...a,5/5,"Wystawiono 7 miesięcy temu, po 2 tygodniach użytkowania",Stylowy
45,d...a,5/5,"Wystawiono 5 miesięcy temu, po miesiącu użytkowania",Ładny i elegancki
46,j...z,5/5,"Wystawiono 5 miesięcy temu, po 2 tygodniach użytkowania",efektowny czajnik
47,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 3 dniach użytkowania",Fajny wygląd i dobra jakość
48,Użytkownik Ceneo,5/5,"Wystawiono rok temu, po 2 miesiącach użytkowania",Good product and material.
49,r...j,5/5,"Wystawiono 2 miesiące temu, po 5 dniach użytkowania",Super
50,a...0,"4,5/5","Wystawiono miesiąc temu, po tygodniu użytkowania",Super produkt .
51,r...r,5/5,"Wystawiono 5 miesięcy temu, po 2 dniach użytkowania",Jestem bardzo zadowolona
52,Użytkownik Ceneo,"4,5/5","Wystawiono 2 lata temu, po 5 dniach użytkowania","Dość lekki.
Ładny designe"
53,l...a,5/5,"Wystawiono 7 miesięcy temu, po 6 dniach użytkowania",Ok
54,m...r,5/5,"Wystawiono 10 miesięcy temu, po miesiącu użytkowania","Estetycznie wykonany,"
55,b...o,4/5,"Wystawiono rok temu, po 3 tygodniach użytkowania",Jaka cena taka jakość
56,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 4 dniach użytkowania",Bardzo ładny design.
57,d...0,5/5,"Wystawiono 10 miesięcy temu, po 2 tygodniach użytkowania",bardzo ładny czajnik
58,Użytkownik Ceneo,4/5,"Wystawiono 2 lata temu, po 3 tygodniach użytkowania",Mało narazie używane
59,Joan,5/5,"Wystawiono 2 lata temu, po 2 tygodniach użytkowania",Swietny! Piękny!
60,Użytkownik Ceneo,5/5,"Wystawiono 6 miesięcy temu, po 6 dniach użytkowania",Super
61,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 4 dniach użytkowania",Czajnik piękny
62,l...3,"4,5/5","Wystawiono 4 miesiące temu, po tygodniu użytkowania",...
63,p...z,5/5,"Wystawiono 10 miesięcy temu, po 2 tygodniach użytkowania",Bardzo ładny
64,b...2,5/5,"Wystawiono 3 miesiące temu, po 2 tygodniach użytkowania",OK
65,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 2 miesiącach użytkowania",wszystko ok
66,Slawek,4/5,"Wystawiono 2 lata temu, po miesiącu użytkowania",Jest ok
67,m...3,5/5,"Wystawiono 5 miesięcy temu, po 5 dniach użytkowania",Super
68,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 3 tygodniach użytkowania",super
69,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 2 tygodniach użytkowania",SUPER
70,w...l,5/5,"Wystawiono 5 miesięcy temu, po tygodniu użytkowania",supa
71,m...r,5/5,"Wystawiono 9 miesięcy temu, po 2 tygodniach użytkowania",oki
72,f...i,4/5,"Wystawiono 11 miesięcy temu, po miesiącu użytkowania",Ok
73,e...a,5/5,"Wystawiono 11 miesięcy temu, po 2 dniach użytkowania",ok
74,Jola,"3,5/5",Wystawiono 2 lata temu,Polecam. Czajnik spełnił oczekiwania moje i mojej rodziny. Dość szybko zagotowuje wodę.
